
 iter= 1 ;  day= 2 ;  method= PCA 
 iter= 7 ;  day= 3 ;  method= PCA 

 iter= 1 ;  day= 3 ;  method= PCA 

 iter= 9 ;  day= 3 ;  method= PCA 

 iter= 6 ;  day= 3 ;  method= bPLS 

 iter= 2 ;  day= 3 ;  method= bPLS 

 iter= 3 ;  day= 3 ;  method= bPLS 

 iter= 4 ;  day= 3 ;  method= bPLS 

 iter= 5 ;  day= 3 ;  method= bPLS 

 iter= 8 ;  day= 3 ;  method= bPLS 

 iter= 1 ;  day= 3 ;  method= bPLS 

 iter= 7 ;  day= 3 ;  method= bPLS 

 iter= 9 ;  day= 3 ;  method= bPLS 

 iter= 6 ;  day= 4 ;  method= PCA 

 iter= 4 ;  day= 4 ;  method= PCA 

 iter= 3 ;  day= 4 ;  method= PCA 

 iter= 2 ;  day= 4 ;  method= PCA 

 iter= 8 ;  day= 4 ;  method= PCA 

